,author,comment,published_time
588,qvty_,Lux playing on a 1980 pc,2023-10-04T23:04:19Z
589,chez1111,22:39 Tobi's the what Lachy 💀💀💀💀,2023-10-04T22:43:18Z
590,kingexplosionmurder7236,Deji is fukin annoying,2023-10-04T22:32:55Z
591,harrybuck4174,"danny aaron’s needs to go, replace him with angry ginge that’s content",2023-10-04T22:28:14Z
592,aimanfahmi6463,Finallllyyy!!!!,2023-10-04T22:27:52Z
593,p_r8528,Cal was an amazing addition,2023-10-04T22:22:11Z
594,C4rps,Callux in 144p,2023-10-04T22:20:20Z
595,klarabarunovic9841,26:57 such enthusiastic laugh from Ethan🤣,2023-10-04T22:18:15Z
596,backdoormischief9852,this song was played to little in this video https://www.youtube.com/watch?v=6jDHRW6fngg,2023-10-04T22:13:11Z
597,jonnyht1990,"Used to love watching sidemen among us, no one even try’s to win anymore. Pointless to watch",2023-10-04T22:02:51Z
598,cryptedd2444,I cant believe how staged this is😂,2023-10-04T22:02:08Z
599,markusjakobsen6181,"With all these eyes it's not tobi, it's tobiiiiii",2023-10-04T21:58:27Z
600,marcoeusebio7356,We need among us with ginge 😂😂,2023-10-04T21:58:05Z
601,n76543,vu,2023-10-04T21:57:02Z
602,blackroseangel123,Blue,2023-10-04T21:47:50Z
603,justalex46,get ginge in the next amongus!,2023-10-04T21:44:27Z
604,ebraheimpasha7246,"I swear to god the best week ever 
Sidemen Sunday 
This omg 
I wish ever week was this",2023-10-04T21:42:50Z
605,Justin-392,We need speed in one of these please 😂,2023-10-04T21:38:28Z
606,JimboCruntz,The fact Tobi didn’t change his name to tobiiii for the easy many eyes joke is disappointing.,2023-10-04T21:30:40Z
607,NonkosiMalakoane,Jesus loves you,2023-10-04T20:49:17Z
608,thevocal7572,Deji replaces ksi like so good it's like as if we don't forget that ksi wasn't there,2023-10-04T20:42:55Z
609,thevocal7572,Deji being so much dumbass😂,2023-10-04T20:41:34Z
610,smellacz1049,You know it’s good when it’s a amongus vid posted,2023-10-04T20:40:05Z
611,michellewaltham9527,The fact that Lazer was so chilled the first 2 games was the biggest clue that he was Imposter😂,2023-10-04T20:29:16Z
612,RobloxianPlayer-69,Susඞ,2023-10-04T20:29:10Z
613,rampify3678,Bro danny arons is always imposter,2023-10-04T20:18:03Z
614,SantanaMoss15,Reminds me of Simon going into JJ’s room to see who the imposter was.,2023-10-04T20:13:48Z
615,har71277,💀 lux’s intro 😭,2023-10-04T20:13:29Z
616,pjbolt3844,lachlan called tobi a ninja.,2023-10-04T19:58:45Z
617,lenuz8142,“hips out of place you say” bro,2023-10-04T19:57:49Z
618,Theworldofserg,OMDS ITS ABOUT TIME,2023-10-04T19:56:33Z
619,bradbuckley4372,At this point Deji should join the sidemen and JJ focus on boxing and music 😂,2023-10-04T19:51:35Z
620,UZl--,5:30 deji Hella funny lmfaoo,2023-10-04T19:49:16Z
621,russell9984,Brilliant 👏,2023-10-04T19:45:19Z
622,myunusmo3078,@25:32 lol😂😂😂,2023-10-04T19:41:24Z
623,Insomniac402,Not in Among us but can we get Stephen tries and Lazer in a video together,2023-10-04T19:40:22Z
624,varde-jumper8503,The best Sidemen gaming moment ever comes from the Aussie boys,2023-10-04T19:38:38Z
625,ibrahm533,bro as soon as i saw callux i knew this would be a banger,2023-10-04T19:27:40Z
626,SWMusashi,Not the DLSR with 16k quality Lachy 😂 27:59,2023-10-04T19:23:44Z
627,eliasramirez7455,Now all the sidemen will do that to each other 😂😂😂😂,2023-10-04T19:22:57Z
628,ljburke7381,How is Deji in more videos for the Sidemen than JJ LMFAO,2023-10-04T19:07:01Z
629,louvenn,Corny,2023-10-04T19:04:49Z
630,carltonascarf7694,lazarthe goaat,2023-10-04T19:04:47Z
631,owenclark9343,"“Fuck your life, your gone” has got to be one of the best Danny Aarons lines",2023-10-04T18:59:13Z
632,tendayijay7186,Lachy's realisation moment has so much meme potential,2023-10-04T18:59:03Z
633,orli3432,I really want to see deji as an imposter,2023-10-04T18:57:19Z
634,alyh2222,Vik is glowing man 🥰,2023-10-04T18:50:37Z
635,StormHaven720,Flying Raijin in among us,2023-10-04T18:31:52Z
636,-ksj-,Lazar supremacy 🛐🛐🛐,2023-10-04T18:19:28Z
637,achantipalmer3017,the lobby is eventful enough but a drunk among us would be gold 🤣,2023-10-04T18:16:10Z
638,juni9164,Lazar always doin the most,2023-10-04T18:12:27Z
639,paulmeyer5583,Chip is the goat!,2023-10-04T18:07:26Z
640,abbyrobertson6234,why is callux in a box,2023-10-04T17:57:38Z
641,emilvestergaard8379,"deji, mayweather thing was too good",2023-10-04T17:57:28Z
642,kaushikkumar1139,Lazar fkin too smart mate,2023-10-04T17:54:45Z
643,zakariabenlafkih5623,finallyyyyyyyyy,2023-10-04T17:54:00Z
644,deanmaartens8975,Harry needs to be in this among us,2023-10-04T17:51:12Z
645,user-om5wl9kd5d,2 million views two days crazy,2023-10-04T17:47:01Z
646,user-yb4nr9ef4f,https://youtube.com/@hamzapkvlog6762?si=jrBIhzNsuP-GsLPY,2023-10-04T17:43:05Z
647,lg2092,25:09 nah that had me dead lmao,2023-10-04T17:40:52Z
648,ofwz,😅😅 0:05,2023-10-04T17:40:18Z
649,danishrauf6888,you cant call him throwby cuz honestly that kill by lazar was legendary,2023-10-04T17:37:32Z
650,DEVASHISH_RAJ,1:56 LoL,2023-10-04T17:35:54Z
651,jackgamblin9355,Lanai dominates these lobbies he’s too good,2023-10-04T17:34:34Z
652,epicgamer1579,Wth is with sidemen among us and recording issues,2023-10-04T17:28:18Z
653,DanielMartinez-px6hu,Love these so much,2023-10-04T17:25:40Z
654,Ballerinho,Where is JJ?,2023-10-04T17:18:34Z
655,dwf12gamez58,Deji is funnier then Jj,2023-10-04T17:10:32Z
656,AbigailKellum,lobby could have used Harry on cams fr😂,2023-10-04T17:03:36Z
657,josiahkoshy7227,MORE AND LONGER AMONG US VIDS PLS THANKS ❤,2023-10-04T17:03:08Z
658,user-rg5uu4op9w,Deji its Simon its simon😂😂,2023-10-04T16:55:29Z
659,DeclanMcHugh-fs1pu,This video is a Lazarbeam highlight reel,2023-10-04T16:53:02Z
660,ReshirexOnYT,NDL,2023-10-04T16:50:50Z
661,xpkx360,"So many things went wrong: Danny only records some of his screen, deji with off camera and callux recording in 144p.",2023-10-04T16:34:05Z
662,Honey_13NH,Is Harry ok? I haven’t seen him in a while,2023-10-04T16:32:10Z
663,davidka6915,SIDEMEN AMONG UUUUUUUUUUUUUS😭😭😭😭😭😭,2023-10-04T16:30:57Z
664,arikagupta1,Can’t believe Josh used the word “uninvisible” 😂😂,2023-10-04T16:30:50Z
665,qtbu7011,y danny always mess shi up,2023-10-04T16:30:19Z
666,JL-fh3en,Would like to see the beta vs sidemen play among us and amp that would be jokes,2023-10-04T16:25:25Z
667,brandonharris3297,Next one bring AngryGinge in,2023-10-04T16:24:53Z
668,justinpan7141,Did anyone else feel like Danny Aaron’s sounded like Gordon Ramsey when complaining about Lazar in the first game?,2023-10-04T16:21:08Z
669,YouTube,14:44 not ethan digging for gold 😉,2023-10-04T16:15:22Z
670,jacksoncrapuchettes,I dread the day when this series ends,2023-10-04T16:13:42Z
671,blazej6500,....,2023-10-04T16:04:39Z
672,anime_world939,12:22 vikk spoken like a true friend❤❤,2023-10-04T16:03:50Z
673,Kjk172,Does anyone else not like Lazar? Hes so annoying,2023-10-04T16:01:06Z
674,pollylikespizza6814,"0:43 Let me guess, you thought your airpod died?
👇",2023-10-04T16:00:50Z
675,ramzsebastian4669,"I have been waiting these too long , make it every week please, love it so much when sidemen play among us",2023-10-04T15:57:03Z
676,UsernameHere51,"I think we need to start implementing an equipment check before recording because every episode there’s an issue, wrong screen ratio, wrong fps, low quality. How does this keep happening",2023-10-04T15:50:37Z
677,AprilHughes-mp4qg,We need chainsaw massacre!,2023-10-04T15:46:49Z
678,UsernameHere51,Glad Lux finally caught a session,2023-10-04T15:45:07Z
679,Kitto0,Please install camera in JJ's room 😂😂😂 whenever he plays next time in Among Us that has potential to be most peak SIDEMEN AMONG US content there ever could be.,2023-10-04T15:44:28Z
680,nEvernastyy,simon makes these games so much spicier. he knows what the fucking people want. he can litterally see the video before it was edited,2023-10-04T15:44:26Z
681,adamridzuan9061,lazar is the real ninja 😂,2023-10-04T15:38:51Z
682,SPatel-hf9nt,Lazarbeam basically made this his video but the sidemen get the revenue of the video,2023-10-04T15:38:46Z
683,mrgrimreaper5239,Danny mate just get dome invisalign,2023-10-04T15:38:16Z
684,greatbanter8085,The Callux Charlie Nicholas impression at 11:01 is genius editing,2023-10-04T15:35:32Z
685,Adr_123,man...ninja mode is too OP,2023-10-04T15:32:36Z
686,seriflelic9738,Deji's laugh gets me everytime 😅😅,2023-10-04T15:32:08Z
687,nadirbaitsaleem7270,"4:14 This part is so funny, not only is the Mayweather photo there but the fact that Deji got the trophy means it was genuinely his first time doing card swip first try 😂",2023-10-04T15:22:44Z
688,noobnoob7299,where is speed part-2,2023-10-04T15:22:28Z
689,hsqdemon6524,"Tobi crying again shock😂😂
Duck you Tobi",2023-10-04T15:17:18Z
690,nadirbaitsaleem7270,"I missed this series man, we need more Sidemen Among Us",2023-10-04T15:16:57Z
691,NedelchoMihnev,Don't invite Callux again :D,2023-10-04T15:16:18Z
692,pr3bzi,0:18 tryna trick people into thinking jj's in the video bruh,2023-10-04T15:09:37Z
693,obpihhipbo888,please get this lot onto some jackbox games 😂,2023-10-04T15:05:03Z
694,Krewfie,Vik is so cute him being upset about lying 😭,2023-10-04T15:03:10Z
695,rishikeshnegi,25:03 to 25:12 is a meme template,2023-10-04T15:01:37Z
696,epicbosco,"I been rewatching these Among Us videos, so glad there’s a new vid!!",2023-10-04T14:48:33Z
697,athreyakidambi9804,"Lannan is the GOAT of Among Us. Those Ninja Kills were well timed and the secret camera in Lachy's office was unexpected but really funny. I like how that Lachy got the imposter and said he would set Lannan up after Lannan set him up in the previous game, but then Lannan knew everything through the hidden cams",2023-10-04T14:46:17Z
698,marywhitmore5230,More among us,2023-10-04T14:39:03Z
699,bencain8151,don’t invite calux if his game quality is gonna be that shit. he ain’t that funny anyway lol sorry,2023-10-04T14:36:56Z
700,galaxythefifth,Lannan carried this lobby 😂,2023-10-04T14:35:03Z
701,franisfuda7973,I get turned on when sidemen post a new among us video on god,2023-10-04T14:26:15Z
702,joshjones7471,Nah lazar 😂😂😂the camera moment will forever go down as a goated among us moment 😂😂😂lachys face 🤣,2023-10-04T14:24:03Z
703,blubolt7692,I think what Lazarbeam did was unfair :(,2023-10-04T14:22:50Z
704,ayanokoji_kiyotaka12611,Finally Among us edition is back keep doing this it's the best thing 🤍,2023-10-04T14:22:26Z
705,TheBearAndTheBull,Nice of them to invite Callux from 2009 into the game.,2023-10-04T14:22:10Z
706,kizzyb2871,I dont like the Tobi eyes character. Change it please lol!,2023-10-04T14:21:29Z
707,ZakSword_TxS,1:58 so unncessary lol,2023-10-04T14:18:00Z
708,str0nixplayz521,More amoung usssss,2023-10-04T14:17:54Z
709,TheBearAndTheBull,How do Lachlan and Lazar share an office? Lachlan looks like a pro setup and Lazar looks like he records from a Crack den.,2023-10-04T14:16:43Z
710,KBhunterx262,Lmao the hips out of place joke,2023-10-04T14:09:29Z
711,tombrady7390,"lazarbeam is josh,vikk,simon combined",2023-10-04T14:07:01Z
712,freddiewisdish1983,Someone forgot to check the audio levels,2023-10-04T14:01:35Z
713,rajveerkanojiya2985,Lazar is a gem 😂,2023-10-04T13:59:01Z
714,joshjones7471,I would love lazar and lachy in other videos like gta and things😂😂👌,2023-10-04T13:54:54Z
715,windradimas,Hall of Fame Performance from Lannan today,2023-10-04T13:54:37Z
716,TheStockportHatter1986,Deji's laugh kills me everytime,2023-10-04T13:51:02Z
717,lloyrenzoseptember9155,"That was a goated moment, along with Simon and KSI colluding when they lived together",2023-10-04T13:49:48Z
718,ntokozokhumalo2076,Sidemen saying he’s gonna die is peak,2023-10-04T13:47:29Z
719,lostking3971,Deji bruv😂😂😂 19:40,2023-10-04T13:44:26Z
720,davidsherfield9455,Lazar has become better again. This is the first time Lannan has won an imposter game for the longest time possible. Lazar took the Spy/Ninja seriously by spying on Lachy. You can’t get enough of Sidemen Among Us. 😂😂😂😂😂😂😂😂,2023-10-04T13:43:50Z
721,g.prabaharg.prabahar2290,🤣🤣🤣🤣🤣,2023-10-04T13:43:00Z
722,y-mi5pv,Staged so obvious,2023-10-04T13:38:47Z
723,jas8578,New more among us,2023-10-04T13:36:13Z
724,lazykingT,30:38 tobi🤣💀,2023-10-04T13:30:18Z
725,yangxhi69,19:35 perfect kill from Lannonnnn,2023-10-04T13:20:44Z
726,JR-sz9ib,The hip transition to lux was amazing😂😂😂😂,2023-10-04T13:19:12Z
727,connorsconey,Lazar undefeated,2023-10-04T13:18:44Z
728,captainnana3870,MORE AM;ONG SUS!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,2023-10-04T13:16:21Z
729,akashakash1170,No ksi no party,2023-10-04T13:15:22Z
730,fr7615,GET GINGE ON THE NEXT ONE,2023-10-04T13:15:07Z
731,philipgianatasio92,"Bro, I love lazarbeam he’s just so funny and creative",2023-10-04T13:11:01Z
732,Alienhere,13:29 😂😂😂,2023-10-04T13:08:56Z
733,happylife102,More plz,2023-10-04T13:08:27Z
734,thomyboy3219,Haha the camera thing turned dead. He shouldve just said he saw him on cams,2023-10-04T13:01:25Z
735,ethanhunt1563,Need ginge on an amongus vid,2023-10-04T12:58:38Z
736,njkivines7751,Lazar is too goated,2023-10-04T12:57:16Z
737,brexo14playzgames12,"Good mod idea 

Last words 
When a player dies they have 10 seconds before there mute so they can call for help for a medic or yell out the imposter name 

The range of the voice will be half of a normal proximity chat

You also use proximity chat normally",2023-10-04T12:55:32Z
738,jayjayb89,How can Callux have alot of money and still look like shit,2023-10-04T12:54:49Z
739,jayjayb89,1:56 So true,2023-10-04T12:52:01Z
740,K00300,22:44 “Lenin made a fool of me last game” Famous last words,2023-10-04T12:51:29Z
741,funkiichiicka,Danny sayin f your life to tobi has killed me off,2023-10-04T12:51:22Z
742,davidjaimesocampo9966,Lazar putting in more effort than sidemen for content,2023-10-04T12:49:40Z
743,MathisSergant,What da hell was Lachlan watching lol,2023-10-04T12:48:46Z
744,kurtari_music,the only time I see lazer in new videos is sidemen now did he leave his channel to die in dust? 🤣🤣🤣,2023-10-04T12:44:22Z
745,Hyder.39,"Lazar will get all the credit, but Lachy is like the Aussie version of Harry. He has no idea what he's doing but somehow it's always still comedy gold",2023-10-04T12:41:08Z
746,aaravvora9368,We need harry,2023-10-04T12:38:19Z
747,Batura73,Why did the Sidemen not record this in the Fungle Among Us Map?,2023-10-04T12:36:05Z
748,laithhassan3264,Tobi's name should have been with more then 1 i,2023-10-04T12:32:41Z
749,EASTCOASTNATURE,tobi casually being the dumbest sidemen,2023-10-04T12:23:17Z
750,derrickmutwiri7021,Am glad the danny simon is still on 😂😂😂,2023-10-04T12:22:47Z
751,PentagxnSZN,We need the old troops back,2023-10-04T12:22:40Z
752,lalaarwa,There is always that one guy in sidemen videos that has an issue with his recording😂,2023-10-04T12:16:08Z
753,t-virusterrance4734,"Hello, Humans
Most humans have unrealistic expectations. Keep your goals realistic, and you'll be less likely to reach disappointment.

TERRANCE OUT",2023-10-04T12:14:37Z
754,tomjoyce2505,Lazarbeam is a goat content creator and such value to sidemen,2023-10-04T12:14:17Z
755,Ssophieblake,I actually hate Danny aarons,2023-10-04T12:12:22Z
756,OceanPremkumar,Dooji is hilarious,2023-10-04T12:07:39Z
757,User_Rogan_Revolution_Realm,Who else waited ages for amoung us again,2023-10-04T12:04:04Z
758,jdmcity12,Why does Tobi got a moustache,2023-10-04T11:56:09Z
759,OceanPremkumar,"It’s just not the same without the whole gang. Ksi, Harry, Randy even Pie Face. But Lazar carried",2023-10-04T11:55:16Z
760,IFW-DTB,doojie,2023-10-04T11:53:46Z
761,lesrituelsdunnoob1564,"W Lazer, i love that guy he's so funny",2023-10-04T11:49:04Z
762,langeb8395,19:08,2023-10-04T11:47:36Z
763,speedrider652,"29:39 😂😂😂 ""look at my face""",2023-10-04T11:44:40Z
764,mayureshbhalerao2069,Get Ginge on among us @sidemen,2023-10-04T11:43:25Z
765,eliazarcalipay4604,funny,2023-10-04T11:41:02Z
766,raoulswaanenburg6202,"A better title would be, The lazerbeam master class.",2023-10-04T11:38:39Z
767,Youtubesmyson,Callux is probably a millionaire but that camera is shocking,2023-10-04T11:27:17Z
768,Snoozybro,29:41 😂😂😂,2023-10-04T11:25:04Z
769,trolled6886,Only watching this bcz of lazarbeam otherwise its not gonna be good,2023-10-04T11:22:31Z
770,James_O07,dont let xqc hear the gamba floating dragon slot music,2023-10-04T11:22:23Z
771,douglasclarkstrom4739,Why the floating dragon slot music 💀,2023-10-04T11:20:53Z
772,ryanator109,Absolutely loved this Lannan masterclass hahahaha,2023-10-04T11:20:34Z
773,__seanyboii__2790,Lazar having a camera in the other room is a great idea until he forgets about it and pulls it up to see him wanking it,2023-10-04T11:15:19Z
774,ans3825,Among us with speeed?,2023-10-04T11:12:41Z
775,suspiciousonly8612,"Lazar: Fixes camera when lachlan gets impostor
Tobi: Gets ninja instead of lachlan
Crew: Easiest W",2023-10-04T11:08:13Z
776,ManjeetK01,Don't you dare make me wait this long again for Among us videos 😒😒🤬,2023-10-04T11:02:39Z
777,lordkiller5915,We are in 8 m,2023-10-04T11:01:40Z
778,amyclarke4244,I will never get bored of Sidemen Among Us 😂,2023-10-04T10:59:24Z
779,samolliffe9816,Get Danny off get someone else on 👌🏻,2023-10-04T10:57:31Z
780,thatotherguy6008,25:08 goated moment,2023-10-04T10:56:31Z
781,L2KD3M0ND0G,Harry and JJ cba for moresidemen,2023-10-04T10:54:38Z
782,chrissmith8808,that niche sky sports Charlie Nicholas joke was golden,2023-10-04T10:54:25Z
783,rhinogaming9879,wow Deji isn't in the kitchen this time!,2023-10-04T10:51:37Z
784,hemanths5295,Lazor the GOAT,2023-10-04T10:48:56Z
785,deannqa,2:12 😂😂,2023-10-04T10:46:24Z
786,rhinogaming9879,"From Deji's camera not being charged to Danny corner screen recording to Cal's microwave quality and Lazar's hidden camera, it's feels perfect for a sidemen among us video",2023-10-04T10:40:09Z
787,Bill-nx2mb,"Imagine all the sidemen and the usual among us suspects in a gta lobby, pure carnage",2023-10-04T10:37:49Z
788,oliviaknight2711,The idiot notes at the start 😭,2023-10-04T10:30:48Z
789,b6nitotv,We love sidemen Among Us,2023-10-04T10:21:10Z
790,ashbulldog,"Yay Callux! He used to be my favourite Among us player during lockdown so its great to see him back. Callux returning on Sidemen Among us is awesome, no two ways about it 😉",2023-10-04T10:18:43Z
791,AnanyaTanwar-eb8ec,https://youtube.com/shorts/YXoZSR_YcNg?si=bsWpog3J-4GBRhwo,2023-10-04T10:16:07Z
792,benradcliffe2717,OMG BEEN WAITING FOR AMOUNG US,2023-10-04T10:15:21Z
793,SheDidntComeBack,"How to win Sidemen Among Us: 
-Kill Simon.
-Kill Vikk.
-Have fun.",2023-10-04T10:14:51Z
794,BillyBeal-ss8zr,We do love a good old bit of among us,2023-10-04T10:13:57Z
795,ImmortalKxlla,We need weekly among us!,2023-10-04T10:12:03Z
796,mrbigpenisholyy,Lannan the goat,2023-10-04T10:07:11Z
797,Fra2or,I thought my AirPods died but it turns out I was just the sidemen putting sound effects ….. thanks sidemen 😂,2023-10-04T10:06:50Z
798,RaiVer928,Tobi is not Gojo,2023-10-04T10:04:58Z
799,page_1one,Bring back amoung us proximity chat,2023-10-04T10:02:53Z
800,joeg3021,"Yo Ksi this is a very formal message that is about to be sent to you and is 100% real.
Kayte, and I would appreciate it if you responded. So we were having a great little chat and we would both gladly appreciate it if you and Logan Paul came to Taupo in New Zealand and had a prime piss up with us. 100% genuine and would love if you guys could come and have it with us but the only catch is that you guys have to pay for plane tickets and you guys have to bring the prime. If you could get back to me, we would gladly appreciate it.",2023-10-04T10:00:07Z
801,finnlaygrant-mackay3029,"Istg I put my AirPods on char…






Nvm",2023-10-04T09:59:34Z
802,CoralVein,who remembers lannan playing madden?,2023-10-04T09:59:27Z
803,yuvrajkampani8783,NEEDED AN AMONG US VID SO BADDD,2023-10-04T09:59:14Z
804,DoomyBart,ethan’s hairline is absolutely messed up,2023-10-04T09:58:29Z
805,zacherykonowalow8262,hey it seems you haven't subscribed.... yeah fuck off with it. lads foreheads played 4 super bowls on it,2023-10-04T09:57:24Z
806,vidiation3455,this video was basically all about lazerbeam :'),2023-10-04T09:55:52Z
807,nandisharts5752,9:11 average labourer during the 18th century :,2023-10-04T09:55:22Z
808,mattbubb,Whats with Lux's spud camera😂😂😂😂,2023-10-04T09:54:12Z
809,leenewman1463,Deji's laugh is the best 😅😂,2023-10-04T09:52:50Z
810,SpongeBobCirclepants_,0:44 I thought my AirPods died 😭😭😭,2023-10-04T09:48:53Z
811,leenewman1463,"Sidemen, beta squad, Amp have been on fire over the last few days....

And I thank you 🔥",2023-10-04T09:48:29Z
812,tyramisa8508,Lazar cooked in this among us vid I love it!!🤣🤣🤣 I’m happy to see that he didn’t break a keyboard or a tv this time🤣 he deserves to have the floor and run the lobbies,2023-10-04T09:46:37Z
813,3dann735,Make More Sidemen a gaming channel and play Among Us and GTA and other games with friends.,2023-10-04T09:45:15Z
814,abdelbasidahmed7201,"16:00
Lazar was so lucky in that moment 😂",2023-10-04T09:42:30Z
815,jq184,😂😂😂😂😂,2023-10-04T09:34:42Z
816,clash12391,Ayo lux calling Danny daddy at 7:03,2023-10-04T09:33:20Z
817,00ruva00,This game was crazy,2023-10-04T09:33:18Z
818,adamnicholson1420,Where’s ginge,2023-10-04T09:20:49Z
819,themuffinman6185,"Play Goose goose duck! It’s free, similar to among us but 10x better",2023-10-04T09:18:18Z
820,hannibalandgreece,"Classic almost done the task and body reported, I've had a game when I've done asteroids 3 times and had it cancelled through meetings in the same game.",2023-10-04T09:18:03Z
821,m-series7059,Lazer is a menace bruhh😂,2023-10-04T09:15:35Z
822,haniyahassan,"Chipfat, i salute u 🫡 amazing editing 😂 love mushu ❤",2023-10-04T09:15:25Z
823,dabbbaded1342,More More More,2023-10-04T09:09:03Z
824,emilforsstrom2499,Sidemen among us is always top tier,2023-10-04T09:07:22Z
825,blakewayyt,Sidemen among us is nothing without Lannan,2023-10-04T09:06:07Z
826,47shawty12,the win that lazar deserved,2023-10-04T09:05:52Z
827,vortexshr,Lazar was the main character of this sidemen among us and im all for it,2023-10-04T09:02:56Z
828,RK-2411,Deji is always the third imposter😅,2023-10-04T09:01:18Z
829,Markkidd96,Throwbii 😂😂😂,2023-10-04T08:57:40Z
830,GOJOANIME,Arguably this is one of the best sidemen among us ever,2023-10-04T08:55:46Z
831,devpadam2128,27:22 what is josh drinking? For some reason i think it’s a prime can but this flavour doesn’t exist…,2023-10-04T08:47:38Z
832,user-cr4tr3oj8s,Lazar will steal your keysss😂,2023-10-04T08:46:55Z
833,user-cr4tr3oj8s,Best play ever😂❤,2023-10-04T08:46:33Z
834,TheJubess,Lazar carried this episode so hard I worry for his back,2023-10-04T08:40:27Z
835,slaypoonani7711,Lannan is fuckin crack up 😂,2023-10-04T08:39:45Z
836,hamishgamon8090,am i the only person who checked my airpod battery at the beginning😂😂,2023-10-04T08:36:07Z
837,milliedevlin1534,Need an among us with ginge 👏🏼,2023-10-04T08:32:57Z
838,stevenmcintyre1701,Lazar is the goat haha,2023-10-04T08:26:15Z
839,KhotaMaz,"Lazar made this entire video, he was THE video",2023-10-04T08:25:21Z
840,danielfernandes427,Lanan carried,2023-10-04T08:24:39Z
841,TheJubess,lazar running 236ms ping... he can kill someone and be around the corner on his screen and it's still happening on everyone elses screen,2023-10-04T08:19:11Z
842,firefliesjacks2090,"WHERE IS HARRRRYYYYYY!!!!?????

Day 3 of asking this",2023-10-04T08:17:54Z
843,bubblesvalentine3830,Biblically accurate Tobi among us skin,2023-10-04T08:16:18Z
844,Hawkz00.,Why is Callux recording on a potato,2023-10-04T08:16:06Z
845,JeffJ24,This is the best one of these for a long time. I laughed so hard 😂😂 brilliant,2023-10-04T08:15:18Z
846,JuffMan99,"Chipfat literally has these videos in his backpack. That callux introduction was gold i say, GOLD",2023-10-04T08:09:33Z
847,celestea4499,Please make more amongus vids,2023-10-04T08:08:40Z
848,loophole3763,"doji
tobiieee throwbii
danial arens",2023-10-04T08:08:39Z
849,gokageuchiha8574,Is it just me or josh said the n word at 15:51,2023-10-04T08:08:00Z
850,matejoroz712,Lazer with the 200% iq plays irl and in-game. Love the among us videos guys.,2023-10-04T08:04:32Z
851,ashplague6200,Lazar the only one to go 3-0,2023-10-04T08:04:06Z
852,kylehopf7147,one of the best Among us,2023-10-04T07:59:51Z
853,skproductions6677,I love sidemen content and I love laser beam but Lachlan knew about the camera lmfao,2023-10-04T07:57:29Z
854,kovashinisedembarum6348,Tobi’s skin got my trypophobia kicking 😭,2023-10-04T07:55:15Z
855,scoobgaming9343,More among us!!!,2023-10-04T07:54:45Z
856,davidniiayi3349,The little picture of Mayweather in Dejis wallet😂😂😂,2023-10-04T07:52:56Z
857,SithumePro.,"OMG, i have waited for so long dude.. thanks for uploading AMOGUS..",2023-10-04T07:49:47Z
858,ogshorts448,"Throwbi: On my life, I was running to do top reactor
Danny: Fuck your life",2023-10-04T07:49:04Z
859,phantomxxx1337,illuminati reveal? 31:14,2023-10-04T07:46:39Z
860,sansamman4619,Among us is fun and all. But we need pro clubs back!!,2023-10-04T07:42:46Z
861,aisyahedits,this is probably the best Among Us editing in this channel,2023-10-04T07:39:56Z
862,Chimkin985,Among us is good but danny got to fix the camera callux got to get out of low quality mode and deji got to fix his camera,2023-10-04T07:38:20Z
863,ella-dn7cq,0:44 bro I thought my AirPods died😭,2023-10-04T07:30:18Z
864,myriamnano9580,Do not stop making among us videos please,2023-10-04T07:26:28Z
865,s1ckboirari,"Not even his channel but Lazar puts in the extra effort.
Actual great content creator, he deserves an award even tbh or something",2023-10-04T07:26:17Z
866,user-do1rg4oh9w,W vid,2023-10-04T07:26:15Z
867,PMA1719,Can tell lux recorded this from his android,2023-10-04T07:25:06Z
868,gamermikeoxlong,Banger vid haha 😂❤,2023-10-04T07:24:08Z
869,Joshua-ir6ul,This start is an instant classic once simon ssaid the world was ending and dejis laugh Great,2023-10-04T07:19:19Z
870,Kjk172,Tobi saying look me in the eye 😂😂😂😂😂😂😭😭😭😭😭😂😂😂😂😂😭😭😭😭😭😭😭😂😂😂😂😂😂😂😂😂😂😂😂,2023-10-04T07:16:48Z
871,kamahl55,Danny Aarons needs to be the next sidemen member,2023-10-04T07:09:56Z
872,aayush555_,Lazar should be the 8th sideman,2023-10-04T07:05:39Z
873,MLGpuppetlord,more of a lazarbeam video to be honest,2023-10-04T07:04:53Z
874,xeous_1967,Finally an among us vid,2023-10-04T07:01:26Z
875,Zpf45,Nahh danny saying fuck your life mate is insane💀,2023-10-04T06:58:10Z
876,Ghostprince31,#1 trending for gaming let’s GO,2023-10-04T06:50:34Z
877,philipspigelmeyer959,"The best part of this was EVERYONE doggin on danny because ""an idiot that swings a bat will at some point hit a ball."" Its okay tho danny some people need to have over 2iq because this world would be fucked if not and also your down there with deji just like in the game.😂😂",2023-10-04T06:47:20Z
878,richguy32,Lachlan's moment of realization is gold. My face hurts from laughing,2023-10-04T06:46:50Z
879,abhishek8380,need more among us videos,2023-10-04T06:45:23Z
880,PepikSvk,Bro why is Deji so much louder like my man dont know how to set up a mic or some shit but my ears are bleeeding while he shouts,2023-10-04T06:45:14Z
881,cleetushall7940,Great to see lux back at it again,2023-10-04T06:44:19Z
882,Cortez2004,Tobis the whattt,2023-10-04T06:38:13Z
